downtime_id,machine_id,machine_name,location,downtime_start,downtime_end,duration_minutes,downtime_type,cause_description,resolved_by,resolution_actions,parts_replaced,scheduled_maintenance,production_impact,reported_by,report_date
1,MX-1001,Press Alpha,Assembly Line A,2024-06-03T08:14:00,2024-06-03T09:02:00,48,mechanical,Main drive belt slipped off spindle during morning shift.,tech_jroberts,Adjusted belt alignment and tension; tested startup.,belt,false,"24 units delayed, 48 min lost",op_cmartin,2024-06-03
2,MX-2002,Welder Sigma,Welding Bay,2024-06-04T14:35:00,2024-06-04T15:00:00,25,electrical,Voltage drop detected; automatic shutdown triggered.,team_electric,Reset breaker and checked wiring.,,false,"10 units lost, minor delay",op_rkhan,2024-06-04
3,MX-3006,Cutter Theta,Cutting Room,2024-06-05T10:10:00,2024-06-05T11:30:00,80,mechanical,Blade jammed due to improper material feed.,tech_egreen,"Cleared jam, lubricated blade, tested cut.",blade,false,"36 units delayed, 80 min lost",op_dgomez,2024-06-05
4,MX-4009,Press Delta,Assembly Line B,2024-06-06T07:45:00,2024-06-06T08:15:00,30,operator_error,Forgot to reset machine after maintenance break.,op_jreed,Restarted machine and verified settings.,,false,"No units lost, minor delay",op_jreed,2024-06-06
5,MX-5003,Cutter Zeta,Cutting Room,2024-06-07T13:20:00,2024-06-07T15:10:00,110,scheduled_maintenance,Quarterly preventive check and calibration.,maintenance_team,"Cleaned and replaced filter, calibrated blade system.",filter,true,"Planned downtime, no impact",scheduler_bnelson,2024-06-05
6,MX-1002,Press Beta,Assembly Line C,2024-06-08T16:00:00,2024-06-08T16:50:00,50,mechanical,Hydraulic leak from rear actuator.,tech_slim,Replaced seal and tested hydraulic pressure.,seal,false,22 units delayed,op_rpatel,2024-06-08
7,MX-2004,Welder Kappa,Welding Bay,2024-06-09T09:35:00,2024-06-09T09:42:00,7,electrical,Fuse tripped during operation.,tech_lmurphy,"Replaced fuse, restarted system.",fuse,false,No measurable impact,op_lmurphy,2024-06-09
8,MX-4001,Press Gamma,Assembly Line D,2024-06-10T11:22:00,2024-06-10T12:37:00,75,mechanical,"Gear set worn, causing misalignment.",tech_egreen,"Replaced gear set, adjusted alignment.",gear set,false,"30 units lost, 75 min delay",op_lcastro,2024-06-10
9,MX-5008,Cutter Omega,Cutting Room,2024-06-11T17:00:00,2024-06-11T17:05:00,5,operator_error,"Incorrect material loaded, auto-stop triggered.",op_kwhite,"Removed incorrect material, resumed operation.",,false,No units lost,op_kwhite,2024-06-11
10,MX-3003,Cutter Lambda,Cutting Room,2024-06-12T06:50:00,2024-06-12T07:47:00,57,mechanical,"Coolant system failure, blade overheated.",tech_slim,"Replaced coolant pump, tested blade temperature.",coolant,false,28 units delayed,op_rpatel,2024-06-12
11,MX-2007,Welder Tau,Welding Bay,2024-06-13T12:00:00,2024-06-13T12:33:00,33,electrical,Sensor misread caused premature shutdown.,team_electric,"Reset sensor, updated firmware.",,false,8 units delayed,op_mharris,2024-06-13
12,MX-1004,Press Epsilon,Assembly Line E,2024-06-14T15:10:00,2024-06-14T15:28:00,18,mechanical,Minor jam in feed tray.,op_swright,Cleared jam and resumed operation.,,false,5 units delayed,op_swright,2024-06-14
13,MX-6001,Test Lab Proto,Test Lab,2024-06-15T10:30:00,2024-06-15T12:00:00,90,other,Software update and testing.,test_team,"Installed update, monitored system.",,false,Lab test; no production affected,test_team,2024-06-15
14,MX-1003,Press Zeta,Assembly Line A,2024-06-16T13:45:00,2024-06-16T15:25:00,100,scheduled_maintenance,Annual preventive maintenance.,maintenance_team,"Cleaned and replaced filter, tested systems.",filter,true,"Planned downtime, no impact",scheduler_dtran,2024-06-14
15,MX-3001,Cutter Alpha,Cutting Room,2024-06-17T11:10:00,2024-06-17T12:35:00,85,mechanical,Motor overheated due to blocked vent.,tech_jroberts,"Cleared vent, replaced motor.",motor,false,35 units lost,op_dgomez,2024-06-17
16,MX-2001,Welder Beta,Welding Bay,2024-06-18T07:30:00,2024-06-18T08:00:00,30,electrical,Short circuit at controller board.,tech_lmurphy,"Replaced circuit board, tested controls.",circuit_board,false,12 units delayed,op_mharris,2024-06-18
17,MX-4003,Press Theta,Assembly Line C,2024-06-19T09:00:00,2024-06-19T09:10:00,10,operator_error,Operator paused machine for unscheduled check.,op_tlee,Resumed operation after verification.,,false,No impact,op_tlee,2024-06-19
18,MX-5004,Cutter Kappa,Cutting Room,2024-06-20T15:50:00,2024-06-20T18:05:00,135,mechanical,Feeder tray motor failed.,tech_slim,"Replaced tray motor, tested feed.",motor,false,60 units delayed,op_rpatel,2024-06-20
19,MX-2006,Welder Pi,Welding Bay,2024-06-21T08:00:00,2024-06-21T08:18:00,18,electrical,Voltage regulator error.,team_electric,"Adjusted regulator, tested weld.",,false,No measurable impact,op_lmurphy,2024-06-21
20,MX-6002,Remote Test,Offsite Facility,2024-06-22T13:00:00,2024-06-22T16:00:00,180,other,Power outage due to grid failure.,facility_mgr,Restored backup power and restarted systems.,,false,All production suspended,facility_mgr,2024-06-22
21,MX-1005,Press Mu,Assembly Line B,2024-06-23T07:10:00,2024-06-23T07:35:00,25,mechanical,Lubrication pump failure.,tech_jroberts,Replaced pump and refilled lubricant.,pump,false,10 units delayed,op_cmartin,2024-06-23
22,MX-5005,Cutter Gamma,Cutting Room,2024-06-24T10:25:00,2024-06-24T12:00:00,95,mechanical,Blade sensor malfunctioned.,tech_egreen,"Replaced sensor, calibrated blade.",sensor,false,40 units delayed,op_dgomez,2024-06-24
23,MX-2008,Welder Nu,Welding Bay,2024-06-25T14:00:00,2024-06-25T14:21:00,21,electrical,"Overcurrent detected, emergency stop.",team_electric,"Inspected wiring, reset system.",,false,4 units lost,op_rkhan,2024-06-25
24,MX-4005,Press Xi,Assembly Line D,2024-06-26T16:40:00,2024-06-26T17:00:00,20,operator_error,Incorrect command sent to controller.,op_swright,Reset controller and retrained operator.,,false,"Minor delay, no units lost",op_swright,2024-06-26
25,MX-1006,Press Omicron,Assembly Line E,2024-06-27T11:00:00,2024-06-27T13:50:00,170,scheduled_maintenance,Semi-annual calibration and cleaning.,maintenance_team,Replaced nozzle and calibrated press.,nozzle,true,Production halted for maintenance window,scheduler_bnelson,2024-06-25
